2.8	建物が少ない郊外のゆるいカーブの道路と草地で仕切られた歩道があり、道路を赤い二階建てのバスが走っています。	街灯の近くを二階建ての赤いバスが走っている。
2.8	黒いバイクの椅子の上に猫が立っています。	モペッドのシートの上にネコがのっています。
1.8	室内の壁の前に置時計が設置されています。	天井近い高さを持つ時計の横に椅子が置かれています。
3.2	青色の毛糸の帽子をかぶった白い猫がいます。	青色の毛糸の帽子をかぶった黒い猫がいます。
0.2	芝生の上の広場に数人の男女が集まっています。	町並みの中に石積みでできた時計塔があります。
1.2	トイレの便座があがった状態になっています。	白いトイレの側にトイレットペーパーが垂れ下がっている。
3.8	オートバイが二台並んで停まっています。	2台の黒色のバイクが停まっています。
3.6	黒い牛と茶色の牛１頭ずつが、道を歩いています。	街角を黒色と茶色の牛が二頭歩いています。
2.6	年配の男女が笑顔で並んで立っています。	男性と女性がならんでたっています。
2.4	青空に向かって、青いカイトが飛んでいます。	海の近くで、スポーツカイトを上げています。
3.6	野外で男性がスケートボードをしています。	スケートボード場で、男性がスケートボードをしています。
3.0	キッチンのIHヒーターの上にはシルバーの換気塔があります。	キッチンのIHヒーターの上には黒っぽい換気塔があります。
2.8	たくさんのマフィンと、色とりどりの飾りのついたスイーツがあります。	テーブルの上にスイーツがたくさんのっています。
3.4	バナナの木に青いバナナがたわわに実を付けています。	バナナの青い房が木になっています。
0.8	建物に時計塔が設置されています。	芝生の上からレンガ色と青の古い建物が見えます。
3.2	黒猫が青いバッグの中に座っています。	カバンの中に黒いネコが入っています。
3.0	道の角に、方向を示す案内板があります。	道の真ん中に、方向を示す案内板があります。
4.8	赤ちゃんと同じぐらいの大きさの熊のぬいぐるみが置かれています。	赤ちゃんと赤ちゃんと同じくらいの大きさの熊のぬいぐるみがあります。
0.2	小さな女の子が皿の中の麺を持ち上げています。	白と青と黄色の電車が走っています。
3.8	プレートにチップスや料理が盛りつけられています。	白い皿の上に数種類の食べ物が盛られています。
1.4	女性が両手に馬の手綱を持って川を渡っています。	白いシャツを着た女性が二頭の馬を連れて川の中を歩いています。
3.2	部屋の右側に二段ベッドが置いてあります。	小さな二段ベッドが壁際にあります。
0.0	テーブルの上の白いお皿に、ランチが乗っています。	ジャンボジェット機が滑走路から離陸しています。
3.8	ヘルメットをかぶった男がスケートボードでジャンプ台に挑もうとしています。	ヘルメットを被った人がスケートボードに片足を乗せて立っています。
3.8	ゴミを漁る白黒模様の牛が一頭います。	１頭の牛が道路のゴミを漁っています。
1.2	赤ん坊がテーブルの上に乗っています。	赤ちゃんの上にテーブルがあります
2.8	奥に女の子、手前に男の子が並んでいます。	屋外で少年と少女が並んで立っています。
3.8	男性が二人と女性が一人、大きなケーキの前に座っています。	大きなケーキを前に、一人の女性と二人の男性がカップを手に座っています。
3.8	Ｌ字型のキッチンのカウンターにレンジや棚があります。	C字型のキッチンのカウンターにレンジや棚があります。
2.8	石の台の上にホットドッグが置かれています。	ホットドッグと飲み物が置かれています。
0.0	車の前を横断する羊の群れがいます。	女性がノートパソコンを見ています。
2.0	アンティーク調の洋式トイレがあります。	白い陶器の洋式便座ですが、便座と蓋は茶色です。
2.6	部屋の中に、金髪の女の子が座っています。	横縞の服を着た人物が床に置いたクッションの上に腰を下ろしています。
2.8	色とりどりの野菜と肉が盛り付けられたランチプレートです。	白いお皿にグリーンピース、コーン、ブロッコリー、にんじん、マッシュポテト、肉が乗っています。
0.0	お皿の上に焼き上がったピザが乗っています。	トイレの壁面に絵画の入った額が飾られています。
2.2	ピンクと白のユニフォームを着た女性がラケットでボールを打っています。	女性のテニス選手がサーブをしています。
